Episode,Full time,Gameplay Time,Game 1st Half,Game 2nd Half,Mid Break,,1st start,1st end,2nd start,2nd end
C2E130,3:58:48,3:29:00,1:32:32,1:56:28,0:16:06,,0:11:55,1:44:27,2:00:33,3:57:01
C2E131,4:13:55,3:44:45,1:49:51,1:54:54,0:15:20,,0:12:57,2:02:48,2:18:08,4:13:02
C2E132,3:33:22,3:08:03,1:40:30,1:27:33,0:15:28,,0:08:12,1:48:42,2:04:10,3:31:43
C2E133,4:19:50,3:53:56,2:09:12,1:44:44,0:15:24,,0:08:28,2:17:40,2:33:04,4:17:48
C2E134,4:05:36,3:35:56,1:41:30,1:54:26,0:15:27,,0:12:34,1:54:04,2:09:31,4:03:57
C2E135,3:39:27,3:09:35,1:40:22,1:29:13,0:15:29,,0:12:52,1:53:14,2:08:43,3:37:56
C2E136,3:34:27,3:09:44,1:57:21,1:12:23,0:15:20,,0:08:02,2:05:23,2:20:43,3:33:06
C2E137,3:03:24,2:34:30,1:13:45,1:20:45,0:15:09,,0:12:11,1:25:56,1:41:05,3:01:50
C2E138,3:17:12,2:47:24,1:32:51,1:14:33,0:15:20,,0:11:49,1:44:40,2:00:00,3:14:33
C2E139,3:43:39,3:16:33,2:03:25,1:13:08,0:15:16,,0:09:42,2:13:07,2:28:23,3:41:31
C2E140,4:36:33,4:08:30,3:16:15,0:52:15,0:15:16,,0:09:19,3:25:34,3:40:50,4:33:05
C2E141,6:54:44,6:28:02,3:12:22,3:15:40,0:15:35,,0:09:52,3:22:14,3:37:49,6:53:29
